OrderID,CustomerID,ProductID,OrderDate,Quantity,OrderStatus,TotalAmount,PaymentMethod
101,146,1005,2020-07-16,2,Canceled,320.97,DIGITAL
102,198,1005,2021-04-29,3,Delivered,60.32,DIGITAL
103,37,1002,2022-12-18,4,Canceled,194.95,DIGITAL
104,60,1003,2022-04-16,5,Delivered,336.42,COD
105,176,1005,2022-10-05,2,Canceled,117.05,COD
106,28,1001,2021-11-21,3,Shipped,362.94,COD
107,197,1005,2022-11-01,2,Shipped,385.67,DIGITAL
108,81,1002,2021-05-04,4,Shipped,491.89,COD
109,114,1002,2020-10-02,2,Shipped,144.43,COD
110,40,1003,2021-11-23,1,Shipped,421.31,DIGITAL
111,45,1005,2020-08-29,3,Shipped,284.13,DIGITAL
112,62,1001,2020-05-05,2,Delivered,218.06,DIGITAL
113,93,1001,2020-08-04,4,Returned,105.07,DIGITAL
114,115,1004,2022-11-28,4,Canceled,380.98,COD
115,186,1001,2021-05-09,2,Shipped,156.14,COD
116,67,1003,2021-03-02,4,Delivered,217.14,DIGITAL
117,56,1003,2022-07-07,5,Delivered,78.14,DIGITAL
118,40,1001,2020-05-30,5,Delivered,410.62,COD
119,98,1001,2021-01-18,5,Returned,394.96,DIGITAL
120,40,1004,2020-11-03,1,Canceled,380.13,DIGITAL
121,91,1001,2022-01-15,2,Returned,184.75,DIGITAL
122,33,1004,2022-06-10,1,Processing,128.07,COD
123,6,1004,2021-01-09,4,Delivered,336.9,COD
124,147,1001,2022-10-28,1,Processing,273.27,COD
125,80,1002,2020-05-08,4,Shipped,130.21,DIGITAL
126,168,1002,2022-10-11,4,Shipped,358.66,DIGITAL
127,92,1004,2021-10-30,3,Returned,496.01,COD
128,97,1001,2021-05-31,5,Canceled,386.25,DIGITAL
129,59,1002,2020-03-26,4,Processing,382.99,DIGITAL
130,59,1001,2020-11-06,3,Canceled,477.64,DIGITAL
131,48,1001,2021-03-02,5,Returned,141.32,DIGITAL
132,169,1001,2020-04-23,4,Shipped,304.5,COD
133,13,1005,2020-10-29,4,Canceled,490.84,COD
134,107,1001,2022-01-13,1,Canceled,124.38,COD
135,45,1005,2021-08-10,1,Shipped,365.11,COD
136,89,1004,2022-09-13,5,Processing,313.61,COD
137,181,1002,2020-12-10,4,Shipped,313.92,COD
138,170,1002,2022-03-24,2,Canceled,363.95,COD
139,100,1002,2022-03-11,1,Processing,468.33,COD
140,191,1002,2022-10-21,5,Processing,402.16,DIGITAL
141,155,1002,2022-12-12,4,Shipped,75.26,DIGITAL
142,166,1002,2022-12-28,4,Canceled,433.73,DIGITAL
143,188,1002,2020-12-26,2,Returned,151.49,DIGITAL
144,7,1004,2022-10-06,5,Canceled,219.61,DIGITAL
145,133,1001,2021-12-04,4,Delivered,257.78,COD
146,45,1003,2021-07-28,1,Returned,266.41,COD
147,58,1005,2021-11-18,2,Processing,245.83,COD
148,31,1003,2022-02-19,5,Returned,471.81,COD
149,23,1003,2021-08-07,2,Processing,367.71,COD
150,170,1001,2021-08-11,1,Processing,334.03,COD
151,138,1001,2021-05-03,5,Returned,72.43,DIGITAL
152,160,1001,2022-08-28,2,Processing,456.76,DIGITAL
153,107,1002,2021-05-08,3,Processing,459.23,DIGITAL
154,181,1004,2020-01-19,1,Delivered,401.1,COD
